code_type,code_samples,target
fixed_code,"def greet(name):
    if len(name) == 0:
        return None
    return name[0]",0
faulty_code,"a = [1,2,3]
b.append(4)
c.pop(0)",1
fixed_code,"try:
    x = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input: {e}')
except Exception as e:
    print(f'An unexpected error occurred: {e}')
finally:
    print('Operation completed.')",0
faulty_code,"a = [1,2,3]
b = a[1:3]
c = b[::-1]",1
fixed_code,"for i in range(3):
    if i < len(list):
        print(list[i])",0
fixed_code,"import pandas as pd

df = pd.DataFrame({'A': [1,2,3], 'B': ['a', 'b', 'c']})

df.merge(df, on='A', left_index=True, right_index=True, how='inner')",0
faulty_code,"for i in range(10):
    print(i)

# This loop runs indefinitely because it lacks an exit condition",1
fixed_code,"for i in range(4):
    print(i+1)",0
faulty_code,"import os

os.path.exists('test.txt')",1
faulty_code,"for i in range(1, len(list)):
    print(list[i])",1
faulty_code,"for i in range(10)
    print(i+1)",1
faulty_code,"a = [1,2,3]
b = a[2]
print(b)",1
fixed_code,"a = [1,2,3]
b = a[0:2][::-1]",0
faulty_code,"for i in range(10):
    print(i)
print(i+1)",1
faulty_code,"for i in range(5,0):",1
faulty_code,"```
# Example: Iterating from 1 to len(list) inclusive, which causes index out of range
employees = ['Alice', 'Bob']
for i in range(1, len(employees)+1):
    print(employees[i])
```",1
faulty_code,if x==5and y==10:,1
faulty_code,"a = [1,2,3]
a[5]",1
fixed_code,"def my_function(lst):
    for i in range(len(lst)-1):
        if lst[i] > lst[i+1]:
            # do something",0
fixed_code,"mylist = [1,2,3]
index = mylist[::-1]",0
faulty_code,"x = [1, 2]
y = x[3]",1
fixed_code,"for i in range(10):
    num = int(input('Enter a number: '))
    print(num*i)",0
fixed_code,for i in range(6):\n    print(i),0
fixed_code,"s = 'hello'
print(s.capitalize())",0
fixed_code,"i = 0
while i < 5:
    print(i)
    i += 1
    if i == 5:
        break",0
faulty_code,"for i in range(1,5):
    print(i)

print('Missing fourth element')",1
fixed_code,"d = {""a"": 1}
if ""b"" in d:
    print(d[""b""])
else:
    print(""Key not found"")",0
faulty_code,"['for i in range(5):', '\tprint(i)', '    print(i+1)']",1
faulty_code,"for i in range(10)
    print(i+1)

print('Loop ended without issue')",1
faulty_code,input,1
faulty_code,"students = {'Alice': 'freshman', 'Bob': 'sophomore'}
print(students.get('Charlie'))",1
fixed_code,"for i in range(len(arr)):
    if i < len(arr)-1 and arr[i] > arr[i+1]:
        arr[i], arr[i+1] = arr[i+1], arr[i]
",0
faulty_code,"a = [1,2,3]
for i in range(4):
    print(a[i])",1
fixed_code,"for i in range(5):
    print(i+1)

print('Loop completed with correct indentation')
",0
fixed_code,"total = 0
for i in range(6):
    total += i",0
faulty_code,"fruits = ['apple', 'banana', 'cherry']; for i, fruit in enumerate(fruits):
    print(i)",1
fixed_code,"my_list = [1, 2, 3]
print(my_list[2])",0
fixed_code,"for i in range(10):
    print(i+1)
print('Loop completed', end='\nLoop finished')
",0
fixed_code,"try:
    for i in range(len(my_list)):
        my_list[i] += 1
except IndexError as e:
    print(f""Index error: {e}"")",0
faulty_code,"for i in range(1,5):
    print(i+1)

# This code has an off-by-one error. It should be changed to range(1,6) or stop=6.",1
faulty_code,"for i in range(5):
    print(i+1)

# This loop runs from 0 to 4, but the output is incorrect due to an off-by-one error",1
fixed_code,"numbers = [1,2,3]
avg = sum(numbers) / len(numbers)
try:
    if avg > 0:
        print('Average is positive')
    else:
        print('Average is zero or negative')
except ZeroDivisionError:
    print('List is empty')",0
faulty_code,"try:
    open('nonexistentfile.txt')
except FileNotFoundError:
    print('File not found')",1
faulty_code,"['my_list = [1, 2, 3]\n\nreversed_list = my_list[::-1]', ""for i in range(5): \n    print(i)\n\nprint('Missing value at index 4')"", '\n\na = 0\nb = 0\nc = 0\n\nfor i in range(len(a)):\n    a[i] += b[i]\n    c += d[i]', 'my_list = [1, 2, 3]\n\nreversed_list = my_list[::-1]', ""for i in range(5): \n    print(i)\n\nprint('Missing value at index 4')"", '\n\na = 0\nb = 0\nc = 0\n\nfor i in range(len(a)):\n    a[i] += b[i]\n    c += d[i]']",1
fixed_code,"for i in range(len(numbers)-1):
    if numbers[i] > 5:
        print('Numbers are too high')

print('All numbers are <=5')",0
fixed_code,"a = [1,2,3]
print(a[2])",0
faulty_code,"for i in range(len(arr)-1):
    arr[i], arr[i+1] = arr[i+1], arr[i]

swap = arr[0]
arr[0] = arr[-1]
arr[-1] = swap",1
fixed_code,"for i in range(5):
    print(i+1)
print('Loop ended', end=' ')",0
faulty_code,"for i in range(len(list)):
    print(list[i])",1
faulty_code,"for i in range(10):
    print(i)

# This code has an off-by-one error. It prints from 0 to 9.",1
fixed_code,"def greet():
    if hasattr(name, 'exists'):
        print(f'Hello {name}')
    else:
        print('Hello')",0
faulty_code,for i in range(10):,1
fixed_code,"for i in range(len(nums)-1):
    if nums[i] > 5:
        print('Found a number greater than 5')",0
faulty_code,"my_list = []
print(my_list[0])",1
faulty_code,"for i in range(5):
    print(i+1)

# This loop should run from 0 to 4 but stops at 3 due to an off-by-one error.",1
